imie,plec,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
KLAUDIUSZ,M,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,3,,,,,,,1,,,,,1,1,,,,,,10,,1,,,,2,,,1,,,,,,1
KONRAD,M,1,,4,,1,3,2,3,3,2,2,2,,2,7,6,1,5,4,5,6,6,9,9,14,16,31,34,28,47,32,26,32,48,38,44,24,34,31,30,43,38,25,39,27,32,29,23,32,19,12,16,13,13,11,11,14,9,8,17,5,2,5,5,3,3,
LESZEK,M,31,41,50,49,59,50,57,53,50,46,43,36,35,22,46,26,17,22,31,32,19,15,8,14,14,12,9,14,3,12,6,13,6,10,7,5,5,3,5,3,1,1,,1,,,,1,1,,,,1,1,,,,,,1,,,,2,2,,
TOMASZ,M,11,13,13,20,17,30,19,20,34,29,38,44,44,54,51,70,77,66,92,122,104,118,174,141,173,167,187,162,176,176,153,145,120,157,123,146,125,120,102,82,57,45,51,44,38,30,20,23,22,18,18,17,10,13,16,11,18,12,24,13,19,19,24,19,22,25,8
TADEUSZ,M,86,83,94,84,80,63,63,56,58,42,36,37,22,21,12,20,11,14,11,5,6,8,7,3,4,3,3,6,,3,4,3,,,1,,3,,,3,1,,,1,,,1,,1,,,,,1,,,,,1,,3,2,3,2,7,3,3
ALEX,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,1,3,3,6,5,5,2,3,3,3,
TOBIASZ,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,2,,1,,,,,,,,1,1,,1,1,4,1,2,2,3,1,3,3,3,1,5,5,2
NIKODEM,M,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,2,,1,,3,1,2,,1,1,1,2,,1,,,,1,,3,2,2,4,5,9,6,2,9,11,9,8,19,24,18,22,18,20
KRYSTIAN,M,1,,,1,,,,,1,,1,,,,,,,1,,1,,,,2,,1,3,,2,5,9,8,9,4,5,6,6,8,7,7,3,8,8,11,12,13,22,9,10,8,18,23,12,16,11,19,12,21,17,13,19,16,17,16,9,13,4
ZDZISLAW,M,23,33,24,23,26,19,29,16,16,14,10,7,10,8,8,8,7,2,1,2,4,2,3,,1,,,1,2,1,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
