IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
JULIE,KOBIETA,294
LUCY,KOBIETA,293
VALERYIA,KOBIETA,290
CHLOE,KOBIETA,289
ERWINA,KOBIETA,287
ELENI,KOBIETA,287
KRYSTIANA,KOBIETA,286
KRYSTSINA,KOBIETA,285
ALESIA,KOBIETA,284
RACHEL,KOBIETA,283
YASMIN,KOBIETA,281
ARIANNA,KOBIETA,280
ELIGIA,KOBIETA,280
MARY,KOBIETA,280
ZOYA,KOBIETA,279
ALODIA,KOBIETA,279
SONJA,KOBIETA,278
ARLENA,KOBIETA,278
MARGOTA,KOBIETA,277
ROSA,KOBIETA,277
LUISA,KOBIETA,275
NATALYA,KOBIETA,275
RENA,KOBIETA,274
EDELTRAUD,KOBIETA,272
ALIONA,KOBIETA,271
LUCJANA,KOBIETA,271
SWITŁANA,KOBIETA,270
LARISSA,KOBIETA,270
ASTRID,KOBIETA,270
INGEBORG,KOBIETA,268
EDWINA,KOBIETA,268
WIEŃCZYSŁAWA,KOBIETA,267
SOFIJA,KOBIETA,267
LUNA,KOBIETA,267
DOLORES,KOBIETA,266
VITALINA,KOBIETA,265
VALIANTSINA,KOBIETA,264
CAMILLA,KOBIETA,264
NASTAZJA,KOBIETA,263
ELIANA,KOBIETA,262
ALESSANDRA,KOBIETA,260
NADZEYA,KOBIETA,260
KARMEN,KOBIETA,259
PARASKIEWA,KOBIETA,259
GERTRUD,KOBIETA,258
URSULA,KOBIETA,258
OXANA,KOBIETA,257
ROZA,KOBIETA,256
MEGAN,KOBIETA,256
ROBERTA,KOBIETA,255
SUSANNE,KOBIETA,255
CARLA,KOBIETA,255
VIVIENNE,KOBIETA,254
EDITH,KOBIETA,253
ANJA,KOBIETA,253
LEONIDA,KOBIETA,253
RAFAELA,KOBIETA,252
ANATOLIA,KOBIETA,251
CORNELIA,KOBIETA,249
KONRADA,KOBIETA,248
TAMILA,KOBIETA,248
ADI,KOBIETA,247
ALESSIA,KOBIETA,247
PALINA,KOBIETA,246
MIKA,KOBIETA,246
FABIOLA,KOBIETA,245
SHARON,KOBIETA,244
WISŁAWA,KOBIETA,244
ANIA,KOBIETA,243
LORENA,KOBIETA,243
DORA,KOBIETA,242
MADINA,KOBIETA,241
ANZELMA,KOBIETA,240
LEYLA,KOBIETA,240
PETRA,KOBIETA,239
KATIA,KOBIETA,238
HENRIETA,KOBIETA,237
LIDIYA,KOBIETA,237
AMIRA,KOBIETA,232
SYNTIA,KOBIETA,232
EDELTRAUT,KOBIETA,231
KAMELIA,KOBIETA,231
YARYNA,KOBIETA,229
MALIKA,KOBIETA,229
KATARINA,KOBIETA,228
LYDIA,KOBIETA,227
VITALIIA,KOBIETA,226
AISHA,KOBIETA,226
SUSAN,KOBIETA,226
FRIDA,KOBIETA,226
ZINA,KOBIETA,225
ULYANA,KOBIETA,225
LIZAVETA,KOBIETA,223
KOLETA,KOBIETA,223
HELEN,KOBIETA,223
KATRIN,KOBIETA,222
IWONKA,KOBIETA,222
HANNELORE,KOBIETA,220
PAULINE,KOBIETA,220
MARGARYTA,KOBIETA,220
ZELMA,KOBIETA,218
BIRUTA,KOBIETA,218
CHANTAL,KOBIETA,216
WITOLDA,KOBIETA,216
DAMIANA,KOBIETA,214
CAMILA,KOBIETA,214
SOFIE,KOBIETA,214
EMILIIA,KOBIETA,212
LUDMILA,KOBIETA,211
CYNTHIA,KOBIETA,211
JAGIENKA,KOBIETA,211
ROSE,KOBIETA,211
REBECCA,KOBIETA,211
JUTA,KOBIETA,210
NADJA,KOBIETA,209
CEZARIA,KOBIETA,208
ALBERTA,KOBIETA,207
ANAT,KOBIETA,207
ANDRIANA,KOBIETA,206
INESA,KOBIETA,206
DYONIZA,KOBIETA,205
ELLI,KOBIETA,205
GRACE,KOBIETA,203
ESTHER,KOBIETA,203
AGATHA,KOBIETA,203
KORYNA,KOBIETA,203
MARYAM,KOBIETA,202
FATMA,KOBIETA,202
YVONNE,KOBIETA,202
SALWINA,KOBIETA,202
NATALIJA,KOBIETA,202
PATRIZIA,KOBIETA,201
ZYGMUNTA,KOBIETA,201
NADIJA,KOBIETA,201
LEAH,KOBIETA,199
NASTASSIA,KOBIETA,198
GABRIELLE,KOBIETA,197
STELA,KOBIETA,197
AGRYPINA,KOBIETA,196
TAL,KOBIETA,196
MARGARETE,KOBIETA,194
RAJMUNDA,KOBIETA,192
TOMIRA,KOBIETA,191
