key_uid,key_descriptor,key_vocabulary,relationship_type,related_uid,related_descriptor,related_vocabulary
18533574,Al-Huda Mosque (Place),_GeoBuildings,na,na,na,na
18533575,Al-Iman Mosque (Place),_GeoBuildings,na,na,na,na
18600313,Al-Islah Mosque (Place),_GeoBuildings,UF,18600314,Masjid Al-Islah,_GeoBuildings
18533576,Al-Istighfar Mosque (Place),_GeoBuildings,na,na,na,na
18533577,Al-Istiqamah Mosque (Place),_GeoBuildings,na,na,na,na
18533583,Al-Khair Mosque (Place),_GeoBuildings,na,na,na,na
18533584,Al-Mawaddah Mosque (Place),_GeoBuildings,na,na,na,na
18539611,Al Mukminin Mosque,_Organisations,na,na,na,na
18533585,Al-Mukminin Mosque (Place),_GeoBuildings,na,na,na,na
18538923,Al-Muttaqin Mosque,_Organisations,na,na,na,na
18533586,Al-Muttaqin Mosque (Place),_GeoBuildings,na,na,na,na
18533554,Al-Taqua Mosque (Place),_GeoBuildings,na,na,na,na
18587912,"Alatas, Hussein, Syed",_People,UF,18593409,"Alatas, Hussein, Syed, 1928-2007",_People
18587912,"Alatas, Hussein, Syed",_People,UF,18587913,Syed Hussein Alatas,_People
18556702,"Albar, Ja'afar, Syed",_People,UF,18556703,Syed Ja'afar bin Hassan Albar,_People
